"id","id_empresa","ano","lucro_liquido","lucro_operacional","caixa_e_equivalentes","emprestimos_curto_prazo","emprestimos_longo_prazo","depreciacao_e_amortizacao","receita_liquida","ativo_circulante","ativo_nao_circulante","ativo_realizavel_longo_prazo","passivo_circulante","passivo_nao_circulante","lucro_bruto","provento_distribuido","ativo_total","patrimonio_liquido"
32,4,2021,478721,636929,1596350,623139,2806874,172858,9015855,4829110,3101860,325704,1964667,3087302,1778153,90000,NULL,NULL
31,4,2020,462676,622192,1081955,703141,1661479,164824,7465979,3804035,2362752,268560,1600825,1857254,1660985,215000,NULL,NULL
25,4,2019,239628,298240,537764,586591,1107736,143479,5396112,2700181,2109208,308640,1244841,1315176,1250837,71000,NULL,NULL
24,4,2018,362387,381981,365302,514114,914745,101416,4748825,2483575,1953085,296161,1107623,1159922,1221757,65000,NULL,NULL
144,26,2016,874472,1988818,982073,2601940,6235162,708296,13101753,4237241,26051659,8313032,5656036,9654722,2867638,368956,NULL,NULL
167,31,2016,197209,439365,55530,216121,76912,60850,1063929,2639039,689390,96132,2347956,263250,1063929,123852,NULL,NULL
41,9,2021,543795,756168,2706888,1052914,11287837,1300292,22695861,21912888,22605924,6402284,13336854,15270982,6761767,0,NULL,NULL
43,9,2019,-318238.0,103655,3535807,1321169,5112171,522704,6767982,9431729,6624841,2908269,4847910,5474228,2011628,0,NULL,NULL
45,9,2018,-397914.0,-22838.0,3119948,723337,6120928,435153,6488473,7028095,5999122,2597367,3205448,6284654,1674900,0,NULL,NULL
33,5,2021,351491,667261,33722,504700,2443955,389280,3872651,1742471,4331299,136423,1206874,3012413,1126893,296141,NULL,NULL
47,9,2017,-411750.0,10996,1469500,1563958,4678071,335428,6285862,695925,5663602,2206597,3697406,5020008,1329040,0,NULL,NULL
48,9,2016,-485901.0,361079,224248,526891,3739288,291843,8601311,4936400,5304949,1881549,3119426,4043921,1712130,0,NULL,NULL
49,10,2021,343720,468525,33750,496861,37733,105748,2923827,1646786,1719540,297892,1519000,255320,1538680,32172,NULL,NULL
1,1,2021,633112,813944,5489417,2085974,1381128,916070,10571556,13984780,7427205,1134518,7954100,3651264,6172378,244037,NULL,NULL
2,1,2020,1096269,856879,2066781,1418471,1966508,791036,7537180,8896766,5745817,950883,5633411,3507856,4313610,243835,NULL,NULL
4,1,2019,1086201,1676377,980954,894018,751011,694712,9588437,6656209,4896693,304058,4765317,2096566,5857916,409081,NULL,NULL
5,1,2018,1020136,1423821,944671,1423835,499753,314574,8426541,5930335,2890713,261188,4324355,542181,5142024,287651,NULL,NULL
57,12,2021,15991,415045,118725,673,47539,117368,727799,2713458,2740023,112523,566863,711173,408269,0,NULL,NULL
58,12,2020,-276530.0,-172352.0,287942,9566,623219,42454,204254,771817,1337247,27257,114511,917453,98019,0,NULL,NULL
13,2,2021,3657480,4158343,2714427,1052044,737071,520178,23563338,15945946,7986841,930416,7927884,1994231,6960957,1657345,NULL,NULL
40,8,2021,453128,411571,1725775,1379324,2197543,331758,7221181,8832709,5645712,2261468,6085371,3126265,3887933,173624,NULL,NULL
39,8,2020,-27154.0,-31417.0,2921946,1301932,2783364,317260,6245372,8701056,5125536,1898618,5080495,3718754,3160714,255255,NULL,NULL
38,8,2019,592651,807543,943009,821747,2003751,306889,7808044,7509236,5093287,1842823,4400507,2977425,4927141,240293,NULL,NULL
37,8,2018,1235674,1410090,766719,726969,1416015,291231,7192596,6519660,3952488,1702383,3937065,1605936,4669028,103574,NULL,NULL
59,12,2019,-31966.0,-15281.0,63573,0,0,7233,32400,96970,299474,33725,35723,123928,16369,0,NULL,NULL
12,2,2020,2395957,2816324,3892140,642284,1044296,451359,17469557,12556143,7371753,898045,5882044,2115554,5437507,881332,NULL,NULL
11,2,2019,1632455,1847734,1946044,936370,1348599,396783,13347434,9760902,5926739,597797,4491021,2266630,3953268,680924,NULL,NULL
10,2,2018,1344148,1507031,2205700,2049093,1723021,317023,11970090,9438581,5961269,1178926,5034004,2512589,3469274,603957,NULL,NULL
60,12,2018,-11768.0,25429,82757,0,0,10378,33689,103470,322312,47304,32906,136957,22051,0,NULL,NULL
42,9,2020,-210758.0,180573,6634287,430955,7331084,601763,10124347,15779801,6826974,2984999,5386842,7734227,2877091,0,NULL,NULL
50,10,2020,48584,92109,38297,239483,394786,81103,1590992,1564868,1267677,118494,911418,572530,755213,170992,NULL,NULL
51,10,2019,162139,223102,13808,158222,22562,80322,1679235,980665,432584,50438,464659,202519,775694,143526,NULL,NULL
53,10,2018,142644,191279,8501,43978,67440,40882,1526659,842001,203031,49338,255889,77801,710672,115718,NULL,NULL
233,11,2022,320147,697851,195872,877133,10017897,0,2845057,4778502,14153944,511750,1840305,11518346,905946,220330,NULL,NULL
56,11,2021,424564,185216,657043,936382,5280139,0,1955011,2339878,9506172,337952,1813566,5998248,279685,130789,NULL,NULL
234,35,2022,222144,469562,18256,666670,2389097,202110,1111321,3265974,9019231,368645,1015789,3392385,801322,101979,NULL,NULL
235,14,2022,108531,201104,647517,256176,1019075,126747,4181866,3773385,4726295,427892,1494762,1245160,1927703,89283,NULL,NULL
99,20,2021,437384,3009787,7528820,3203068,22252962,2746354,48343305,26243123,29660264,10462475,21225289,25852475,9692533,0,NULL,NULL
112,22,2020,86113,2034853,3548987,5056805,14847178,2421014,9889480,8128080,25320540,7051328,7624209,17884649,3426043,986228,NULL,NULL
54,10,2017,154470,173633,10156,163729,18016,32632,1360474,855237,194662,44908,356825,28114,623768,166205,NULL,NULL
55,10,2016,116149,151326,5020,78970,27079,25815,1239110,706229,200919,41001,201830,35619,549291,74103,NULL,NULL
62,13,2021,4717089,6320984,2560516,3204429,10994211,1057150,10288124,21095033,31436736,3251443,12958993,17153406,9248244,6705127,NULL,NULL
64,13,2020,4150715,5602409,1438420,79401,6980365,1041301,9327395,17101290,29231493,2690449,9678085,12133274,8382575,3884422,NULL,NULL
65,13,2019,2713204,3232141,494033,2537993,1826554,1030250,6576507,10469005,29558310,2333685,8055193,6570889,5907756,2061738,NULL,NULL
66,13,2018,2088351,2392091,329687,1777213,2731946,953105,5351875,7475618,30196627,2388707,5755789,6872260,4831915,1528859,NULL,NULL
111,22,2021,805596,3643001,4593600,3484916,23266233,2986336,12244247,7909456,33446988,10113697,5852489,26938155,4642647,337481,NULL,NULL
100,20,2020,1390069,2846793,7576625,1059984,21344442,2394378,39469700,22911984,26752922,9308366,15440328,25411044,9335931,0,NULL,NULL
101,20,2019,297452,2952773,4237785,3132029,15488250,2301278,33446980,15045427,26655204,9455356,13324005,20228277,8076938,0,NULL,NULL
102,20,2018,-4466246.0,-206334.0,4869562,4547389,17618055,1747201,30188421,19030900,23351477,7549076,14488640,20361960,4867668,0,NULL,NULL
92,19,2021,13961620,26043547,8680686,1343494,33691596,4178433,105625201,39293445,53270923,10329534,25193523,61167017,32056970,5993265,NULL,NULL
93,19,2020,-7015306.0,-71892.0,13862852,1318931,40594871,4048081,58543494,34190244,51893675,10190287,28387174,61563263,11212080,2380,NULL,NULL
94,19,2019,-2896973.0,-56578.0,6803880,774924,28469953,3632265,52323525,23389554,44739483,6992717,16216160,47968171,6644022,668904,NULL,NULL
95,19,2018,2907210,8303943,5547637,737436,24427497,2990577,57999866,21383864,37810115,3243289,23116130,30166607,11446934,1499900,NULL,NULL
86,18,2021,212050,563796,27635,366351,3613557,46291,1131263,1878567,17607220,299944,627220,7619320,1022898,49606,NULL,NULL
87,18,2020,-336109.0,-273460.0,28280,284144,3603376,34424,915097,1850736,17314332,307742,461696,7457755,802290,3284,NULL,NULL
88,18,2019,1382776,1968032,30026,69543,2650075,20925,1257364,1128915,17561516,211374,467968,6636121,1126112,851503,NULL,NULL
89,18,2018,1103590,1641458,23672,412109,2366974,17400,1196208,1305042,16825994,247620,948573,6256606,1061585,121900,NULL,NULL
124,24,2021,-317039.0,103796,5340203,2912802,3382302,1106112,11685440,86169057,14124944,3165436,74228618,12871780,3398180,583569,NULL,NULL
125,24,2020,-347338.0,-144483.0,3507241,40960,8903652,1244519,11186013,75507836,16299562,3221674,66887064,10862250,3114865,217687,NULL,NULL
126,24,2019,1756738,1927010,3212392,918337,8327298,1081278,11353842,76596311,16729359,2756859,67894636,10403191,4081362,1702579,NULL,NULL
127,24,2018,3559435,3705397,2874424,1033618,6829359,932045,11685850,65967300,16595791,2809647,56802838,10890157,5443178,4213101,NULL,NULL
117,23,2021,3752869,6951171,825208,1465133,9898830,1049108,33646118,12949150,39096658,18618146,10687593,21896450,6722248,1416333,NULL,NULL
118,23,2020,2865121,4706296,1680397,2059315,12961243,989053,25227625,15456200,38626880,18994516,9690215,26915517,5382873,598135,NULL,NULL
119,23,2019,3194353,3209809,535757,2746249,12029782,958234,25486973,10352726,40172998,20699011,7964571,26458648,5888300,701137,NULL,NULL
80,16,2021,-4213208.0,54795,3073799,4521055,20388251,1544333,9975729,5846336,12687137,3368330,11710253,25156223,1851525,0,NULL,NULL
81,16,2020,-10834709.0,-1399081.0,3064815,3130681,16750645,1805553,5744126,5417423,10377034,2796319,10212631,19730576,285435,0,NULL,NULL
82,16,2019,-2403086.0,-1195400.0,1647880,2066460,13558317,1622352,11442317,4138731,15058759,4417632,6862020,15854644,75492,0,NULL,NULL
84,16,2017,424513,1242792,762319,419198,2159241,1063378,7704831,3464675,10452441,3232945,4118137,10189950,2183886,0,NULL,NULL
85,16,2016,-126314.0,344286,549164,985238,3049257,301201,6669891,1910326,6490083,2107487,3617643,3780779,1218769,0,NULL,NULL
68,13,2016,1446064,1094586,319124,450208,5013424,98320,2320781,11612517,19543358,3749282,3657832,8421658,2320781,584075,NULL,NULL
120,23,2018,1741713,2495897,890804,2197566,12574262,849093,22266217,27966272,32371441,13698087,23437121,20815905,4589025,508765,NULL,NULL
130,25,2021,-512985.0,78404,1601468,2258499,7635254,488986,4778057,6967942,21544911,1766495,4087999,10654190,2874347,8147,NULL,NULL
131,25,2020,-5805800.0,-3236909.0,2205346,2169119,8084542,541671,5269144,9272019,21511769,2147841,5261918,11236706,3322221,0,NULL,NULL
132,25,2019,242588,1016939,371683,727302,11378737,551000,7027194,4478450,29639996,3254294,2750625,15532552,4217572,196357,NULL,NULL
105,21,2021,3366000,5117000,6945000,3180000,5850000,1223000,77751000,30838000,28086000,7663000,29076000,11452000,14876000,2025000,NULL,NULL
106,21,2020,2844000,4504000,5672000,713000,5065000,1092000,71191000,25413000,26411000,8115000,24720000,10059000,13918000,573000,NULL,NULL
107,21,2019,1328000,2781000,5322000,201000,4283000,1071000,60064000,22155000,22757000,6979000,20059000,10148000,12449000,656000,NULL,NULL
108,21,2018,1863000,3117000,4647000,17000,1896000,774000,54267000,17898000,18779000,5530000,16746000,5884000,11381000,751000,NULL,NULL
30,5,2020,256961,478669,28184,577289,2112261,358468,2971616,1871211,3643611,139921,1100783,2663189,809729,228929,NULL,NULL
29,5,2019,312317,560179,8966,340435,2038854,320464,2905107,1485200,3611452,128453,747035,2590641,888392,307466,NULL,NULL
28,5,2018,331585,503247,55231,216214,1042962,189291,2664463,1434206,2476242,52056,624700,1535787,808501,303210,NULL,NULL
27,5,2017,320618,476872,337544,315641,739283,142752,2383012,1267037,2260295,69770,639146,1181658,736076,130071,NULL,NULL
75,15,2021,1610000,2579000,2550000,613000,7420000,687000,41898000,8772000,14082000,1086000,8644000,11444000,7145000,148000,NULL,NULL
76,15,2020,1398000,2277000,3532000,2120000,5711000,537000,36043000,8349000,10472000,1190000,8786000,8688000,5914000,310000,NULL,NULL
78,15,2019,1047000,1780000,1876000,1174000,7303000,417000,28082000,5722000,17818000,1125000,6721000,9721000,4733000,260000,NULL,NULL
158,29,2021,6370966,9469498,10716802,478410,4234652,752109,19039870,12797847,14193287,966843,6532581,6460264,11031604,3609607,NULL,NULL
159,29,2020,4030710,6302388,2972521,45014,1280000,1232473,13789531,6597075,13025331,711231,4598123,4422586,8308923,2380000,NULL,NULL
160,29,2019,3664263,5303318,428077,43347,1436636,498420,11455946,2646339,13231608,604623,2176596,4343814,7091475,4891864,NULL,NULL
161,29,2018,1061837,2098233,1443204,639418,2143630,402226,7233083,2861517,12273955,296366,1974093,2826869,3710862,1888218,NULL,NULL
133,25,2018,1392856,1244898,1485611,527517,7156105,373778,6060708,5580119,26369010,2917617,2565496,11910573,3791904,638867,NULL,NULL
134,25,2017,1882316,1694507,921328,227767,76114,416714,5557748,3536141,14684294,1453943,1345534,1667175,3451858,692357,NULL,NULL
135,25,2016,1864635,1806399,940367,219282,324720,401606,5244718,2645028,14956037,1920568,1245420,2506281,3087936,564518,NULL,NULL
152,28,2021,4853751,7407940,2199952,4034836,18381035,1751414,39210148,15552504,50567374,30936205,12913717,36400283,9257482,4298495,NULL,NULL
153,28,2020,3706986,5113316,3918796,3988465,14881872,1665999,30898458,13811803,35295081,16511623,14405951,20465155,6921088,2116379,NULL,NULL
154,28,2019,2748297,4712540,1937163,3458775,15450798,1681053,29932474,10340630,33737663,14335003,10065908,20729147,6577583,534061,NULL,NULL
155,28,2018,2165995,4042664,1891457,3363465,17013339,1594064,28136627,9402316,32809214,12909303,8415132,21264015,5789369,322163,NULL,NULL
138,26,2021,5048602,5446038,3472845,2724255,9101806,1082539,23984287,11189872,38347663,15947378,7979993,19382307,4864650,3874318,NULL,NULL
140,26,2020,3909750,4253266,3222768,2599088,7346924,1009912,18633249,11407431,35377233,16222800,9654392,16879754,5285427,626357,NULL,NULL
141,26,2019,2062869,3302287,2941727,1419822,10152271,950726,15869245,7909196,30403354,10955461,5345621,15368717,4405097,380421,NULL,NULL
142,26,2018,1444004,2394047,1948409,3297928,8267510,749179,14934780,6677846,29370276,10132282,6723070,12988838,3433092,300722,NULL,NULL
143,26,2017,1118255,2141381,1040075,2416728,7413755,731599,14024573,5701834,27460543,8607626,6109914,11541960,3358683,506404,NULL,NULL
146,27,2020,908814,2429227,4614053,2372523,13134467,623084,13508787,11436399,24324425,4760058,6415113,17839897,3692709,764996,NULL,NULL
147,27,2019,2483275,3599856,6076644,2380782,11034171,570301,13560445,11336691,21528449,3156130,6166076,15637848,3972439,945171,NULL,NULL
148,27,2018,1903751,2768783,2696947,1161203,8795935,560191,10289935,7589545,21200215,2583496,3994218,13872409,2607161,1045257,NULL,NULL
149,27,2017,1510530,2866649,3150328,1611547,8063447,596687,7670777,7780048,20759225,2289091,4991391,13250617,2624893,1239363,NULL,NULL
150,27,2016,1390087,2793431,3990930,936000,8202129,615314,7541793,6303857,20995972,2531998,3222805,13284685,2955241,1899978,NULL,NULL
